name,population
"Lampasas County, Texas",21627
"Minidoka County, Idaho",21613
"Gaines County, Texas",21598
"Stutsman County, North Dakota",21593
"Dakota County, Nebraska",21582
"Scott County, Virginia",21576
"Hertford County, North Carolina",21552
"Letcher County, Kentucky",21548
"Hockley County, Texas",21537
"Logan County, Colorado",21528
"Sevier County, Utah",21522
"Jersey County, Illinois",21512
"Fayette County, Illinois",21488
"Clark County, Arkansas",21446
"Orocovis Municipio, Puerto Rico",21434
"Coahoma County, Mississippi",21390
"Wabasha County, Minnesota",21387
"Texas County, Oklahoma",21384
"Wyoming County, West Virginia",21382
"Moore County, Texas",21358
"Hubbard County, Minnesota",21344
"Owen County, Indiana",21321
"Newton County, Mississippi",21291
"Leake County, Mississippi",21275
"Llano County, Texas",21243
"Nodaway County, Missouri",21241
"Fillmore County, Minnesota",21228
"Gray County, Texas",21227
"Madison County, North Carolina",21193
"Clinton County, Missouri",21184
"Jackson County, Wisconsin",21145
"Logan County, Arkansas",21131
"Union Parish, Louisiana",21107
"Assumption Parish, Louisiana",21039
"Morgan County, Tennessee",21035
"Morgan County, Missouri",21006
"Shelby County, Illinois",20990
"Fairfield County, South Carolina",20948
"Perry County, Illinois",20945
"Dodge County, Minnesota",20867
"Washington County, Nebraska",20865
"Bandera County, Texas",20851
"Buena Vista County, Iowa",20823
"Sullivan County, Indiana",20817
"Worth County, Georgia",20784
"Ogemaw County, Michigan",20770
"Carroll County, Iowa",20760
"Pointe Coupee Parish, Louisiana",20758
"Conway County, Arkansas",20715
"Adams County, Wisconsin",20654
"Jones County, Iowa",20646
"Hutchinson County, Texas",20617
"Adams County, Washington",20613
"Meriwether County, Georgia",20613
"Dukes County, Massachusetts",20600
"Barnwell County, South Carolina",20589
"Allen County, Kentucky",20588
"Buchanan County, Iowa",20565
"Kewaunee County, Wisconsin",20563
"Colorado County, Texas",20557
"Greene County, Virginia",20552
"Henry County, Iowa",20482
"Fulton County, Indiana",20480
"Jay County, Indiana",20478
"Woodward County, Oklahoma",20470
"Lincoln County, West Virginia",20463
"Greene County, North Carolina",20451
"Uinta County, Wyoming",20450
"Breckinridge County, Kentucky",20432
"Carbon County, Utah",20412
"Peñuelas Municipio, Puerto Rico",20399
"Buchanan County, Virginia",20355
"Clay County, Kentucky",20345
"Lavaca County, Texas",20337
"Carroll County, Indiana",20306
"Santa Isabel Municipio, Puerto Rico",20281
"Lincoln County, New Mexico",20269
"Yell County, Arkansas",20263
"Bourbon County, Kentucky",20252
"St. James Parish, Louisiana",20192
"Labette County, Kansas",20184
"Willacy County, Texas",20164
"Crisp County, Georgia",20128
"Calhoun County, Texas",20106
"Morgan County, Georgia",20097
"DeKalb County, Tennessee",20080
"Winneshiek County, Iowa",20070
"Hempstead County, Arkansas",20065
"Richland Parish, Louisiana",20043
"Martin County, Minnesota",20025
"Washington County, Georgia",19988
"Montague County, Texas",19965
"Davison County, South Dakota",19956
"Dodge County, Georgia",19925
"Taylor County, Wisconsin",19913
"Smith County, Tennessee",19904
"Orange County, Indiana",19867
"DeWitt County, Texas",19824
"Spencer County, Indiana",19810
"Union County, Tennessee",19802
"Tyler County, Texas",19798
"Plumas County, California",19790
"Wayne County, Mississippi",19779
"Franklin Parish, Louisiana",19774
"Monroe County, Alabama",19772
"Douglas County, Illinois",19740
"Pierce County, Georgia",19716
"Vernon County, Missouri",19707
"Lincoln County, Montana",19677
"Jones County, Texas",19663
"Holmes County, Florida",19653
"Gonzales County, Texas",19653
"Elbert County, Georgia",19637
"Duchesne County, Utah",19596
"Simpson County, Kentucky",19594
"Marion County, Kentucky",19581
"Lincoln County, Wyoming",19581
"Wayne County, Kentucky",19555
"East Feliciana Parish, Louisiana",19539
"Macon County, Alabama",19532
"Fayette County, Iowa",19509
"Adair County, Oklahoma",19495
"Langlade County, Wisconsin",19491
"Spencer County, Kentucky",19490
"Jackson County, Iowa",19485
"Chaffee County, Colorado",19476
"Freestone County, Texas",19435
"Los Alamos County, New Mexico",19419
"Benton County, Missouri",19394
"Cherokee County, Kansas",19362
"Polk County, North Carolina",19328
"Marengo County, Alabama",19323
"Hart County, Kentucky",19288
"Polk County, Arkansas",19221
"Kent County, Maryland",19198
"Roosevelt County, New Mexico",19191
"Perry County, Indiana",19170
"Beadle County, South Dakota",19149
"Pickens County, Alabama",19123
"Gem County, Idaho",19123
"McDowell County, West Virginia",19111
"Ashley County, Arkansas",19062
"Butler County, Alabama",19051
"Green Lake County, Wisconsin",19018
"Inyo County, California",19016
"Humphreys County, Tennessee",18990
"Waseca County, Minnesota",18968
"Perry County, Missouri",18956
"McIntosh County, Oklahoma",18941
"Greene County, Georgia",18915
"Adair County, Kentucky",18903
"Pike County, Georgia",18889
"Comerío Municipio, Puerto Rico",18883
"Saluda County, South Carolina",18862
"Tishomingo County, Mississippi",18850
"Houston County, Minnesota",18843
"Paulding County, Ohio",18806
"Harrison County, Kentucky",18692
"Otero County, Colorado",18690
"Concordia Parish, Louisiana",18687
"Crawford County, Illinois",18679
"Bethel Census Area, Alaska",18666
"Poweshiek County, Iowa",18662
"Warren County, North Carolina",18642
"Clay County, Mississippi",18636
"Andrews County, Texas",18610
"Deaf Smith County, Texas",18583
"Randolph County, Arkansas",18571
"Hampton County, South Carolina",18561
"Cedar County, Iowa",18505
"Lamar County, Georgia",18500
"Fentress County, Tennessee",18489
"Ste. Genevieve County, Missouri",18479
"Westmoreland County, Virginia",18477
"Yancey County, North Carolina",18470
"Appling County, Georgia",18444
"Dickinson County, Kansas",18402
"Frio County, Texas",18385
"Jefferson County, Kansas",18368
"Covington County, Mississippi",18340
"Stone County, Mississippi",18333
"Bosque County, Texas",18235
"Wright County, Missouri",18188
"Colonial Heights city, Virginia",18170
"Berrien County, Georgia",18160
"Montour County, Pennsylvania",18136
"Andrew County, Missouri",18135
"Sawyer County, Wisconsin",18074
"Banks County, Georgia",18035
"Brantley County, Georgia",18021
"Adjuntas Municipio, Puerto Rico",18020
"Southampton County, Virginia",17996
"Russell County, Kentucky",17991
"Benzie County, Michigan",17970
"Madison County, Florida",17968
"Grant County, Arkansas",17958
"Johnson County, Tennessee",17948
"Kalkaska County, Michigan",17939
"Bertie County, North Carolina",17934
"Unicoi County, Tennessee",17928
"Schuyler County, New York",17898
"Attala County, Mississippi",17889
"Young County, Texas",17867
"Gilchrist County, Florida",17864
"Haywood County, Tennessee",17864
"King William County, Virginia",17810
"Avery County, North Carolina",17806
"San Juan County, Washington",17788
"Guayanilla Municipio, Puerto Rico",17784
"Luquillo Municipio, Puerto Rico",17781
"Hughes County, South Dakota",17765
"Eastland County, Texas",17725
"Winston County, Mississippi",17714
"Dickinson County, Iowa",17703
"Burleson County, Texas",17642
"Hancock County, Illinois",17620
"Seward County, Nebraska",17609
"Patrick County, Virginia",17608
"Pike County, Missouri",17587
"Polk County, Tennessee",17544
"Delaware County, Iowa",17488
"Lee County, Texas",17478
"Northampton County, North Carolina",17471
"Park County, Colorado",17390
"Pitkin County, Colorado",17358
"Drew County, Arkansas",17350
"Chester County, Tennessee",17341
"Richland County, Wisconsin",17304
"Humboldt County, Nevada",17285
"Sharp County, Arkansas",17271
"Union County, Illinois",17244
"Cook County, Georgia",17229
"Bristol city, Virginia",17219
"Manassas Park city, Virginia",17219
"Ben Hill County, Georgia",17194
"Park County, Montana",17191
"Arkansas County, Arkansas",17149
"Henry County, Alabama",17146
"Tama County, Iowa",17135
"Mariposa County, California",17131
"Mason County, Kentucky",17120
"Chickasaw County, Mississippi",17106
"Cooper County, Missouri",17103
"Franklin County, Arkansas",17097
"Dallas County, Missouri",17071
"Morgan County, West Virginia",17063
"Clayton County, Iowa",17043
"Lewis County, West Virginia",17033
"Holmes County, Mississippi",17000
"Ciales Municipio, Puerto Rico",16984
"Falls County, Texas",16968
"Garrard County, Kentucky",16953
"Scurry County, Texas",16932
"Gunnison County, Colorado",16918
"McCreary County, Kentucky",16888
"Rabun County, Georgia",16883
"Hardin County, Iowa",16878
"Edgar County, Illinois",16866
"Warren County, Illinois",16835
"Cross County, Arkansas",16833
"Marion County, Arkansas",16826
"Buckingham County, Virginia",16824
"Union County, South Dakota",16811
"Piscataquis County, Maine",16800
"Giles County, Virginia",16787
"Dixie County, Florida",16759
"Robertson County, Texas",16757
"Jackson County, Arkansas",16755
"Rush County, Indiana",16752
"Bond County, Illinois",16725
"Taylor County, West Virginia",16705
"Piatt County, Illinois",16673
"Baker County, Oregon",16668
"Iowa County, Iowa",16662
"Washburn County, Wisconsin",16623
"Lafayette County, Wisconsin",16611
"Socorro County, New Mexico",16595
"Phillips County, Arkansas",16568
"La Paz County, Arizona",16557
"Madison County, Iowa",16548
"Idaho County, Idaho",16541
"Lee County, South Carolina",16531
"Richland County, North Dakota",16529
"Burnett County, Wisconsin",16526
"Crawford County, Iowa",16525
"Madison County, Arkansas",16521
"Fountain County, Indiana",16479
"New Madrid County, Missouri",16434
"Potter County, Pennsylvania",16396
"Clay County, Iowa",16384
"Alamosa County, Colorado",16376
"Jasper County, Mississippi",16367
"Atchison County, Kansas",16348
"Fayette County, Alabama",16321
"Hill County, Montana",16309
"Brooks County, Georgia",16301
"Lawrence County, Kentucky",16293
"Dade County, Georgia",16251
"Wayne County, Tennessee",16232
"Bayfield County, Wisconsin",16220
"Lawrence County, Arkansas",16216
"Wayne County, Illinois",16179
"Long County, Georgia",16168
"Parke County, Indiana",16156
"Union County, Florida",16147
"Appomattox County, Virginia",16119
"Crawford County, Wisconsin",16113
"Trinity County, California",16112
"Radford city, Virginia",16070
"Bates County, Missouri",16042
"Rockcastle County, Kentucky",16037
"Kanabec County, Minnesota",16032
"Ashland County, Wisconsin",16027
"Patillas Municipio, Puerto Rico",15985
"Casey County, Kentucky",15941
"Otoe County, Nebraska",15912
"Neosho County, Kansas",15904
"Benton County, Tennessee",15864
"Brunswick County, Virginia",15849
"Arroyo Municipio, Puerto Rico",15843
"Sevier County, Arkansas",15839
"Sequatchie County, Tennessee",15826
"Richland County, Illinois",15813
"Van Buren County, Arkansas",15796
"Osage County, Kansas",15766
"Leon County, Texas",15719
"Grand County, Colorado",15717
"Jefferson County, Georgia",15709
"Carroll County, Illinois",15702
"Mercer County, Illinois",15699
"Aitkin County, Minnesota",15697
"Henry County, Kentucky",15678
"Jefferson County, Iowa",15663
"Pemiscot County, Missouri",15661
"Hormigueros Municipio, Puerto Rico",15654
"Nottoway County, Virginia",15642
"Floyd County, Iowa",15627
"Clarke County, Mississippi",15615
"Gooding County, Idaho",15598
"Marquette County, Wisconsin",15592
"Pawnee County, Oklahoma",15553
"De Witt County, Illinois",15516
"Floyd County, Virginia",15476
"Brown County, Indiana",15475
"Moniteau County, Missouri",15473
"Barbour County, West Virginia",15465
"Clark County, Illinois",15455
"Vermillion County, Indiana",15439
"Redwood County, Minnesota",15425
"Williamsburg city, Virginia",15425
"Washington County, Alabama",15388
"Tipton County, Indiana",15359
"Grayson County, Virginia",15333
"Roseau County, Minnesota",15331
"Marshall County, Oklahoma",15312
"West Feliciana Parish, Louisiana",15310
"Lawrence County, Illinois",15280
"Alleghany County, Virginia",15223
"Page County, Iowa",15211
"Macon County, Missouri",15209
"Pecos County, Texas",15193
"Rincón Municipio, Puerto Rico",15187
"Kingfisher County, Oklahoma",15184
"Fleming County, Kentucky",15082
"Cleburne County, Alabama",15056
"Missaukee County, Michigan",15052
"Torrance County, New Mexico",15045
"Hamilton County, Iowa",15039
"Jackson Parish, Louisiana",15031
"Arenac County, Michigan",15002
"Jackson County, Texas",14988
"Clay County, South Dakota",14967
"Bledsoe County, Tennessee",14913
"Mitchell County, North Carolina",14903
"Larue County, Kentucky",14867
"Sibley County, Minnesota",14836
"Kossuth County, Iowa",14828
"Oglethorpe County, Georgia",14825
"Gasconade County, Missouri",14794
"LaSalle Parish, Louisiana",14791
"Hale County, Alabama",14785
"Clarke County, Virginia",14783
"Jayuya Municipio, Puerto Rico",14779
"Jeff Davis County, Georgia",14779
"Nelson County, Virginia",14775
"Reeves County, Texas",14748
"Pike County, Illinois",14739
"Nolan County, Texas",14738
"Renville County, Minnesota",14723
"Karnes County, Texas",14710
"McKenzie County, North Dakota",14704
"Falls Church city, Virginia",14658
"Pendleton County, Kentucky",14644
"Jasper County, Georgia",14588
"Harrison County, Iowa",14582
"Livingston County, Missouri",14557
"Fulton County, Pennsylvania",14556
"Las Animas County, Colorado",14555
"Clay County, Arkansas",14552
"Carbon County, Wyoming",14537
"Moultrie County, Illinois",14526
"San Juan County, Utah",14518
"Jefferson County, Florida",14510
"Cannon County, Tennessee",14506
"Mills County, Iowa",14484
"Harrison County, Ohio",14483
"Wetzel County, West Virginia",14442
"Dent County, Missouri",14421
"Gogebic County, Michigan",14380
"Bourbon County, Kansas",14360
"Butler County, Iowa",14334
"Hardy County, West Virginia",14299
"Saline County, Nebraska",14292
"Nantucket County, Massachusetts",14255
"Knott County, Kentucky",14251
"Clay County, Alabama",14236
"Smith County, Mississippi",14209
"Choctaw County, Oklahoma",14204
"Franklin County, Idaho",14194
"Gulf County, Florida",14192
"Cedar County, Missouri",14188
"Rusk County, Wisconsin",14188
"O'Brien County, Iowa",14182
"Claiborne Parish, Louisiana",14170
"Massac County, Illinois",14169
"Estill County, Kentucky",14163
"Atoka County, Oklahoma",14143
"York County, Nebraska",14125
"Dickenson County, Virginia",14124
"Calhoun County, South Carolina",14119
"Swain County, North Carolina",14117
"Noble County, Ohio",14115
"Craig County, Oklahoma",14107
"Screven County, Georgia",14067
"Wadena County, Minnesota",14065
"Allamakee County, Iowa",14061
"Trigg County, Kentucky",14061
"Price County, Wisconsin",14054
"Roane County, West Virginia",14028
"Hamilton County, Florida",14004
"Pennington County, Minnesota",13992
"Lamar County, Alabama",13972
"Ketchikan Gateway Borough, Alaska",13948
"Faribault County, Minnesota",13921
"Crockett County, Tennessee",13911
"Murray County, Oklahoma",13904
"Zapata County, Texas",13889
"Walthall County, Mississippi",13884
"White County, Illinois",13877
"Madison County, Virginia",13837
"Newton County, Indiana",13830
"Morgan County, Ohio",13802
"Guánica Municipio, Puerto Rico",13787
"Glacier County, Montana",13778
"Washington County, Illinois",13761
"Winn Parish, Louisiana",13755
"Converse County, Wyoming",13751
"Morgan County, Kentucky",13726
"Breathitt County, Kentucky",13718
"Callahan County, Texas",13708
"Chowan County, North Carolina",13708
"Oglala Lakota County, South Dakota",13672
"Union County, Kentucky",13668
"Stewart County, Tennessee",13657
"Calhoun County, Florida",13648
"Trinity County, Texas",13602
"Comanche County, Texas",13594
"Izard County, Arkansas",13577
"Ford County, Illinois",13534
"Greene County, Mississippi",13530
"Grundy County, Tennessee",13529
"Martinsville city, Virginia",13485
"Madison County, Texas",13455
"Pend Oreille County, Washington",13401
"Fremont County, Idaho",13388
"Monroe County, Ohio",13385
"Hughes County, Oklahoma",13367
"Archuleta County, Colorado",13359
"Buffalo County, Wisconsin",13317
"Bamberg County, South Carolina",13311
"Johnson County, Illinois",13308
"Moffat County, Colorado",13292
"Clay County, Illinois",13288
"Osage County, Missouri",13274
"Calhoun County, Mississippi",13266
"Amelia County, Virginia",13265
"Jackson County, Kansas",13232
"Mono County, California",13195
"Crenshaw County, Alabama",13194
"Shoshone County, Idaho",13169
"Powell County, Kentucky",13129
"Cass County, Iowa",13127
"Big Horn County, Montana",13124
"Kodiak Island Borough, Alaska",13101
"Mason County, Illinois",13086
"Lewis County, Kentucky",13080
"Lamb County, Texas",13045
"Cass County, Illinois",13042
"Webster County, Kentucky",13017
"Perquimans County, North Carolina",13005
"Crawford County, Michigan",12988
"Presque Isle County, Michigan",12982
"Bienville Parish, Louisiana",12981
"Millard County, Utah",12975
"Jackson County, Kentucky",12955
"Wright County, Iowa",12943
"Lincoln County, Arkansas",12941
"Wilbarger County, Texas",12887
"Vinton County, Ohio",12800
"Howard County, Arkansas",12785
"Meigs County, Tennessee",12758
"Bath County, Kentucky",12750
"Amite County, Mississippi",12720
"Tallahatchie County, Mississippi",12715
"Choctaw County, Alabama",12665
"Caldwell County, Kentucky",12649
"Madison County, Missouri",12626
"Chippewa County, Minnesota",12598
"Bleckley County, Georgia",12583
"Lewis County, Tennessee",12582
"Mississippi County, Missouri",12577
"Allen County, Kansas",12526
"Charlton County, Georgia",12518
"Pulaski County, Indiana",12514
"Goshen County, Wyoming",12498
"Towns County, Georgia",12493
"Yalobusha County, Mississippi",12481
"Telfair County, Georgia",12477
"Camp County, Texas",12464
"Poquoson city, Virginia",12460
"Dawson County, Texas",12456
"Franklin County, Florida",12451
"Braxton County, West Virginia",12447
"Sanders County, Montana",12400
"Colfax County, New Mexico",12387
"Monroe County, West Virginia",12376
"Butler County, Kentucky",12371
"Stone County, Arkansas",12359
"Sumter County, Alabama",12345
"Grundy County, Iowa",12329
"Appanoose County, Iowa",12317
"Menard County, Illinois",12297
"Morgan County, Utah",12295
"Northampton County, Virginia",12282
"Pamlico County, North Carolina",12276
"Pike County, Indiana",12250
"Todd County, Kentucky",12243
"Newton County, Texas",12217
"Rolette County, North Dakota",12187
"Morrow County, Oregon",12186
"Rains County, Texas",12164
"Union County, Iowa",12138
"Crawford County, Georgia",12130
"Glades County, Florida",12126
"Edmonson County, Kentucky",12126
"Blackford County, Indiana",12112
"Lake County, Michigan",12096
"Jefferson County, Montana",12085
"Macon County, Georgia",12082
"Fulton County, Arkansas",12075
"Koochiching County, Minnesota",12062
"Boundary County, Idaho",12056
"Skamania County, Washington",12036
"Washington County, Kentucky",12027
"Little River County, Arkansas",12026
"Lawrence County, Mississippi",12016
"Chickasaw County, Iowa",12012
"Prowers County, Colorado",11999
"Greene County, Illinois",11985
"Morris County, Texas",11973
"Summers County, West Virginia",11959
"Lunenburg County, Virginia",11936
"Lyon County, Iowa",11934
"Owyhee County, Idaho",11913
"Linn County, Missouri",11874
"Custer County, Montana",11867
"Northumberland County, Virginia",11839
"Terry County, Texas",11831
"Marion County, Kansas",11823
"Juab County, Utah",11786
"Valley County, Idaho",11746
"Shelby County, Iowa",11746
"Marshall County, Illinois",11742
"Florida Municipio, Puerto Rico",11692
"Cherokee County, Iowa",11658
"Ward County, Texas",11644
"Barton County, Missouri",11637
"Magoffin County, Kentucky",11637
"Iron County, Michigan",11631
"Teton County, Idaho",11630
"Jackson County, Tennessee",11617
"Trousdale County, Tennessee",11615
"Ramsey County, North Dakota",11605
"Conecuh County, Alabama",11597
"Red River County, Texas",11587
"Douglas County, Missouri",11578
"Sierra County, New Mexico",11576
"Haskell County, Oklahoma",11561
"Rio Grande County, Colorado",11539
"Charlotte County, Virginia",11529
"Big Horn County, Wyoming",11521
"Cottonwood County, Minnesota",11517
"Perry County, Mississippi",11511
"Richland County, Montana",11491
"Fergus County, Montana",11446
"Decatur County, Tennessee",11435
"Heard County, Georgia",11412
"Desha County, Arkansas",11395
"Greensville County, Virginia",11391
"Blanco County, Texas",11374
"Wabash County, Illinois",11361
"Monroe County, Kentucky",11338
"Live Oak County, Texas",11335
"Montgomery County, Missouri",11322
"Jefferson Davis County, Mississippi",11321
"Okfuskee County, Oklahoma",11310
"Pope County, Minnesota",11308
"Ceiba Municipio, Puerto Rico",11307
"Martin County, Kentucky",11287
"Owen County, Kentucky",11278
"Watonwan County, Minnesota",11253
"Dooly County, Georgia",11208
"Bacon County, Georgia",11140
"Green County, Kentucky",11107
"Clay County, North Carolina",11089
"Lake County, South Dakota",11059
"North Slope Borough, Alaska",11031
"DeKalb County, Missouri",11029
"Washington County, North Carolina",11003
"Candler County, Georgia",10981
"Grant County, West Virginia",10976
"McIntosh County, Georgia",10975
"Wayne County, Missouri",10974
"Noble County, Oklahoma",10924
"Washita County, Oklahoma",10924
"St. Helena Parish, Louisiana",10920
"Lancaster County, Virginia",10919
"Lake County, Minnesota",10905
"Alleghany County, North Carolina",10888
"Lincoln County, Washington",10876
"Early County, Georgia",10854
"Barnes County, North Dakota",10853
"Box Butte County, Nebraska",10842
"Louisa County, Iowa",10837
"Mackinac County, Michigan",10834
"Sussex County, Virginia",10829
"Pushmataha County, Oklahoma",10812
"Carroll County, Kentucky",10810
"Hancock County, Iowa",10795
"Roosevelt County, Montana",10794
"Evans County, Georgia",10774
"Red Willow County, Nebraska",10702
"Ripley County, Missouri",10679
"Winnebago County, Iowa",10679
"Middlesex County, Virginia",10625
"Guthrie County, Iowa",10623
"Wilcox County, Alabama",10600
"Essex County, Virginia",10599
"Maunabo Municipio, Puerto Rico",10589
"Colfax County, Nebraska",10582
"Bollinger County, Missouri",10567
"Mitchell County, Iowa",10565
"Walsh County, North Dakota",10563
"Custer County, Nebraska",10545
"Bradley County, Arkansas",10545
"Crawford County, Indiana",10526
"Leslie County, Kentucky",10513
"Washington County, Idaho",10500
"Gates County, North Carolina",10478
"Carbon County, Montana",10473
"Cumberland County, Illinois",10450
"Coosa County, Alabama",10387
"Franklin County, Texas",10359
"Bullock County, Alabama",10357
"Ralls County, Missouri",10355
"Camden County, North Carolina",10355
"Montgomery County, Iowa",10330
"Lowndes County, Alabama",10311
"Metcalfe County, Kentucky",10286
"Noxubee County, Mississippi",10285
"Roberts County, South Dakota",10280
"Nemaha County, Kansas",10273
"Johnston County, Oklahoma",10272
"Butte County, South Dakota",10243
"Clay County, Texas",10218
"Chicot County, Arkansas",10208
"Pike County, Arkansas",10171
"Alcona County, Michigan",10167
"Howard County, Missouri",10151
"Love County, Oklahoma",10146
"Holt County, Nebraska",10127
"Nome Census Area, Alaska",10046
"Marshall County, Kansas",10038
"Keokuk County, Iowa",10033
"Lewis County, Missouri",10032
"Perry County, Arkansas",10019
"Franklin County, Iowa",10019
"Madison Parish, Louisiana",10017
"Ochiltree County, Texas",10015
"Carroll County, Mississippi",9998
"Jackson County, Minnesota",9989
"Yuma County, Colorado",9988
"Calhoun County, Iowa",9927
"Webster County, Mississippi",9926
"Runnels County, Texas",9900
"Sabine County, Texas",9894
"Lanier County, Georgia",9877
"Parmer County, Texas",9869
"Pulaski County, Georgia",9855
"Swift County, Minnesota",9838
"Scott County, Arkansas",9836
"Duval County, Texas",9831
"Emery County, Utah",9825
"Montgomery County, Mississippi",9822
"Sac County, Iowa",9814
"Martin County, Indiana",9812
"Mountrail County, North Dakota",9809
"Grundy County, Missouri",9808
"Tunica County, Mississippi",9782
"McLean County, North Dakota",9771
"West Carroll Parish, Louisiana",9751
"Clarke County, Iowa",9748
"Switzerland County, Indiana",9737
"Marion County, Texas",9725
"Rock County, Minnesota",9704
"Wayne County, Nebraska",9697
"Cumberland County, Virginia",9675
"Stevens County, Minnesota",9671
"Zavala County, Texas",9670
"Grand County, Utah",9669
"Irwin County, Georgia",9666
"Caldwell Parish, Louisiana",9645
"Humboldt County, Iowa",9597
"Linn County, Kansas",9591
"Chattahoochee County, Georgia",9565
"Wilkes County, Georgia",9565
"Greenlee County, Arizona",9563
"Brewster County, Texas",9546
"Iron County, Missouri",9537
"Benewah County, Idaho",9530
"Yellow Medicine County, Minnesota",9528
"McCormick County, South Carolina",9526
"Brown County, Kansas",9508
"Howard County, Iowa",9469
"Cheyenne County, Nebraska",9468
"Latimer County, Oklahoma",9444
"Hamilton County, Nebraska",9429
"Rice County, Kansas",9427
"Pipestone County, Minnesota",9424
"Deer Lodge County, Montana",9421
"Clear Creek County, Colorado",9397
"Emmet County, Iowa",9388
"Charles Mix County, South Dakota",9373
"Beaverhead County, Montana",9371
"Nowata County, Oklahoma",9320
"Todd County, South Dakota",9319
"Jasper County, Illinois",9287
"St. Clair County, Missouri",9284
"Clinton County, Kentucky",9253
"Somervell County, Texas",9205
"Johnson County, Georgia",9189
"Terrell County, Georgia",9185
"Forest County, Wisconsin",9179
"Jones County, North Carolina",9172
"Pratt County, Kansas",9157
"Montmorency County, Michigan",9153
"McLean County, Kentucky",9152
"Seminole County, Georgia",9147
"Claiborne County, Mississippi",9135
"Davis County, Iowa",9110
"Stephens County, Texas",9101
"Hancock County, Kentucky",9095
"White Pine County, Nevada",9080
"Marshall County, Minnesota",9040
"Cloud County, Kansas",9032
"Cuming County, Nebraska",9013
"Turner County, Georgia",9006
"Palo Alto County, Iowa",8996
"Mitchell County, Texas",8990
"Crittenden County, Kentucky",8990
"Kemper County, Mississippi",8988
"Phelps County, Nebraska",8968
"Stillwater County, Montana",8963
"Dawson County, Montana",8940
"Richmond County, Virginia",8923
"Catahoula Parish, Louisiana",8906
"Livingston County, Kentucky",8888
"Wilkinson County, Georgia",8877
"Las Marías Municipio, Puerto Rico",8874
"Alger County, Michigan",8842
"Caldwell County, Missouri",8815
"Greene County, Iowa",8771
"Wilcox County, Georgia",8766
"Monona County, Iowa",8751
"Quay County, New Mexico",8746
"Blaine County, Oklahoma",8735
"Hancock County, Georgia",8735
"Clearwater County, Idaho",8734
"Sublette County, Wyoming",8728
"Benton County, Indiana",8719
"Modoc County, California",8700
"Gallatin County, Kentucky",8690
"Lyon County, Kentucky",8680
"Jenkins County, Georgia",8674
"Turner County, South Dakota",8673
"Monroe County, Missouri",8666
"Oregon County, Missouri",8635
"Lucas County, Iowa",8634
"Woods County, Oklahoma",8624
"Wilson County, Kansas",8624
"Madison County, Montana",8623
"Dimmit County, Texas",8615
"Montgomery County, Georgia",8610
"Platte County, Wyoming",8605
"Lee County, Arkansas",8600
"Wilkinson County, Mississippi",8587
"Archer County, Texas",8560
"Ozark County, Missouri",8553
"Mathews County, Virginia",8533
"Clearwater County, Minnesota",8524
"Perry County, Alabama",8511
"Kiowa County, Oklahoma",8509
"Carroll County, Missouri",8495
"Montgomery County, Arkansas",8484
"Trimble County, Kentucky",8474
"Jack County, Texas",8472
"Sitka City and Borough, Alaska",8458
"Johnson County, Wyoming",8447
"Ritchie County, West Virginia",8444
"Warren County, Indiana",8440
"Maries County, Missouri",8432
"Daviess County, Missouri",8430
"Bracken County, Kentucky",8400
"Knox County, Nebraska",8391
"Cedar County, Nebraska",8380
"Webster County, West Virginia",8378
"Butler County, Nebraska",8369
"Kusilvak Census Area, Alaska",8368
"Perry County, Tennessee",8366
"Coffey County, Kansas",8360
"Mercer County, North Dakota",8350
"Keith County, Nebraska",8335
"Rosebud County, Montana",8329
"Custer County, South Dakota",8318
"Tyler County, West Virginia",8313
"Nevada County, Arkansas",8310
"Atkinson County, Georgia",8286
"Houston County, Tennessee",8283
"Prairie County, Arkansas",8282
"Hickory County, Missouri",8279
"Vieques Municipio, Puerto Rico",8249
"Choctaw County, Mississippi",8246
"Lafayette County, Florida",8226
"Hamilton County, Texas",8222
"Oscoda County, Michigan",8219
"Dawes County, Nebraska",8199
"Franklin city, Virginia",8180
"Murray County, Minnesota",8179
"Lake County, Oregon",8160
"Baraga County, Michigan",8158
"Harrison County, Missouri",8157
"Clay County, Kansas",8117
"San Miguel County, Colorado",8072
"Clay County, West Virginia",8051
"Schoolcraft County, Michigan",8047
"Allendale County, South Carolina",8039
"Graham County, North Carolina",8030
"Twiggs County, Georgia",8022
"Traill County, North Dakota",7997
"Hamilton County, Illinois",7993
"Liberty County, Florida",7974
"Lemhi County, Idaho",7974
"Thomas County, Kansas",7930
"San Augustine County, Texas",7918
"Power County, Idaho",7878
"Richardson County, Nebraska",7871
"Pocahontas County, West Virginia",7869
"Anderson County, Kansas",7836
"Searcy County, Arkansas",7828
"Taylor County, Georgia",7816
"Doddridge County, West Virginia",7808
"Northwest Arctic Borough, Alaska",7793
"Winkler County, Texas",7791
"Humphreys County, Mississippi",7785
"Major County, Oklahoma",7782
"Greene County, Alabama",7730
"Ballard County, Kentucky",7728
"Yoakum County, Texas",7694
"Lincoln County, Georgia",7690
"Washakie County, Wyoming",7685
"Coleman County, Texas",7684
"Franklin County, Mississippi",7675
"Merrick County, Nebraska",7668
"Kane County, Utah",7667
"Pleasants County, West Virginia",7653
"Benton County, Mississippi",7646
"Decatur County, Iowa",7645
"McCulloch County, Texas",7630
